rpps,civilite_exercice,civilite_code,civilite,nom,prenom,profession_code,profession_libelle,mode_exercice,cabinet_nom,cabinet_enseigne,complement,adresse_numero,adresse_type,adresse_libelle,code_postal,commune,telephone,email,secteur_activite,source,nom_complet,adresse_complete,specialite_code,specialite_libelle,latitude,longitude,score_geocodage,type_geocodage,adresse_normalisee
10003456799,DR,MME,MME,PETIT,Anne,10,MEDECIN,L,CABINET DR PETIT,,,18,RUE,DE NOYON,80000,AMIENS,0322334455,,SA09,rpps_activite,PETIT Anne,18 RUE DE NOYON 80000 AMIENS,11,PEDIATRIE,49.8876,2.2901,0.90,housenumber,18 Rue de Noyon
10003456800,DR,M,M,GARNIER,Thomas,10,MEDECIN,L,CABINET DR GARNIER,,,9,RUE,DELAMBRE,80090,AMIENS,0322667788,,SA09,rpps_activite,GARNIER Thomas,9 RUE DELAMBRE 80090 AMIENS,1,MEDECINE GENERALE,49.8795,2.3122,0.91,housenumber,9 Rue Delambre
10003456801,DR,M,M,BLANC,Henri,10,MEDECIN,L,CABINET DR BLANC,,,31,AVENUE,FAIDHERBE,80000,AMIENS,0322991122,,SA09,rpps_activite,BLANC Henri,31 AVENUE FAIDHERBE 80000 AMIENS,62,CARDIOLOGIE,49.9100,2.2850,0.88,housenumber,31 Avenue Faidherbe
10003456802,DR,M,M,LECOMTE,Bernard,10,MEDECIN,L,CABINET DR LECOMTE,,,14,RUE,JEAN MOULIN,80000,AMIENS,0322556677,,SA09,rpps_activite,LECOMTE Bernard,14 RUE JEAN MOULIN 80000 AMIENS,38,MEDECINE INTERNE,49.8820,2.2990,0.86,housenumber,14 Rue Jean Moulin
10003456803,DR,MME,MME,AUSLENDER,Corine,10,MEDECIN,L,CABINET DR AUSLENDER,,,12,RUE,DU DOCTEUR SCHWEITZER,59000,LILLE,0320112233,,SA09,rpps_activite,AUSLENDER Corine,12 RUE DU DOCTEUR SCHWEITZER 59000 LILLE,1,MEDECINE GENERALE,50.6231,3.0579,0.96,housenumber,12 Rue du Docteur Schweitzer
10003456804,DR,M,M,BARETY,Frederic,10,MEDECIN,L,CABINET DR BARETY,,,10,RUE,BARTHOLOME MASUREL,59700,MARCQ-EN-BAROEUL,0320445566,,SA09,rpps_activite,BARETY Frederic,10 RUE BARTHOLOME MASUREL 59700 MARCQ-EN-BAROEUL,1,MEDECINE GENERALE,50.6644,3.0869,0.94,housenumber,10 Rue Bartholomé Masurel
10003456805,DR,M,M,CALLENS,Serge,10,MEDECIN,L,CABINET DR CALLENS,,,45,BOULEVARD,DE LA LIBERTE,59800,LILLE,0320778899,,SA09,rpps_activite,CALLENS Serge,45 BOULEVARD DE LA LIBERTE 59800 LILLE,1,MEDECINE GENERALE,50.6356,3.0581,0.93,housenumber,45 Boulevard de la Liberté
10003456806,DR,M,M,CAYET,Pierre,10,MEDECIN,L,CABINET DR CAYET,,,102,RUE,DE LA BASSEE,59800,LILLE,0320334455,,SA09,rpps_activite,CAYET Pierre,102 RUE DE LA BASSEE 59800 LILLE,1,MEDECINE GENERALE,50.6290,3.0520,0.92,housenumber,102 Rue de la Bassée
10003456807,DR,M,M,COCKENPOT,Xavier,10,MEDECIN,L,CABINET DR COCKENPOT,,,223,RUE,PIERRE MAUROY,59700,MARCQ-EN-BAROEUL,0320556677,,SA09,rpps_activite,COCKENPOT Xavier,223 RUE PIERRE MAUROY 59700 MARCQ-EN-BAROEUL,1,MEDECINE GENERALE,50.6830,3.0689,0.91,housenumber,223 Rue Pierre Mauroy
10003456808,DR,MME,MME,DUBOIS,Martine,10,MEDECIN,L,CABINET DR DUBOIS,,,7,RUE,DES DEPORTES,59000,LILLE,0320889900,,SA09,rpps_activite,DUBOIS Martine,7 RUE DES DEPORTES 59000 LILLE,11,PEDIATRIE,50.6180,3.0650,0.89,housenumber,7 Rue des Déportés
10003456809,DR,M,M,LECLERCQ,Antoine,10,MEDECIN,L,CABINET DR LECLERCQ,,,33,AVENUE,DE LA REPUBLIQUE,59000,LILLE,0320223344,,SA09,rpps_activite,LECLERCQ Antoine,33 AVENUE DE LA REPUBLIQUE 59000 LILLE,64,DERMATOLOGIE,50.6420,3.0710,0.90,housenumber,33 Avenue de la République
10003456810,DR,MME,MME,VIDAL,Claire,10,MEDECIN,L,CABINET DR VIDAL,,,14,RUE,GARIBALDI,69003,LYON,0472334455,,SA07,rpps_activite,VIDAL Claire,14 RUE GARIBALDI 69003 LYON,1,MEDECINE GENERALE,45.7573,4.8460,0.95,housenumber,14 Rue Garibaldi
10003456811,DR,M,M,FAURE,Luc,10,MEDECIN,L,CABINET DR FAURE,,,7,COURS,VITTON,69006,LYON,0472667788,,SA07,rpps_activite,FAURE Luc,7 COURS VITTON 69006 LYON,15,OPHTALMOLOGIE,45.7712,4.8554,0.93,housenumber,7 Cours Vitton
10003456812,DR,MME,MME,GIRARD,Emma,10,MEDECIN,L,CABINET DR GIRARD,,,33,AVENUE,JEAN JAURES,69007,LYON,0472991122,,SA07,rpps_activite,GIRARD Emma,33 AVENUE JEAN JAURES 69007 LYON,11,PEDIATRIE,45.7456,4.8398,0.92,housenumber,33 Avenue Jean Jaurès
10003456813,DR,M,M,BONNET,Thomas,10,MEDECIN,L,CABINET DR BONNET,,,5,RUE,DE LA REPUBLIQUE,69001,LYON,0472223344,,SA07,rpps_activite,BONNET Thomas,5 RUE DE LA REPUBLIQUE 69001 LYON,62,CARDIOLOGIE,45.7676,4.8340,0.94,housenumber,5 Rue de la République
10003456814,DR,M,M,PEREZ,Marc,10,MEDECIN,L,CABINET DR PEREZ,,,88,RUE,DU PRESIDENT HERRIOT,69002,LYON,0472445566,,SA07,rpps_activite,PEREZ Marc,88 RUE DU PRESIDENT HERRIOT 69002 LYON,64,DERMATOLOGIE,45.7601,4.8302,0.91,housenumber,88 Rue du Président Herriot
10003456815,DR,MME,MME,DUPONT,Sylvie,10,MEDECIN,L,CABINET DR DUPONT,,,18,RUE,EDOUARD HERRIOT,69001,LYON,0472112233,,SA07,rpps_activite,DUPONT Sylvie,18 RUE EDOUARD HERRIOT 69001 LYON,1,MEDECINE GENERALE,45.7650,4.8320,0.90,housenumber,18 Rue Edouard Herriot
10003456816,DR,M,M,LAMBERT,Pierre,10,MEDECIN,L,CABINET DR LAMBERT,,,2,COURS,GAMBETTA,69003,LYON,0472556677,,SA07,rpps_activite,LAMBERT Pierre,2 COURS GAMBETTA 69003 LYON,33,PSYCHIATRIE,45.7520,4.8500,0.88,housenumber,2 Cours Gambetta
10003456817,DR,MME,MME,CHEVALIER,Laura,10,MEDECIN,L,CABINET DR CHEVALIER,,,20,RUE,PARADIS,13006,MARSEILLE,0491112233,,SA07,rpps_activite,CHEVALIER Laura,20 RUE PARADIS 13006 MARSEILLE,11,PEDIATRIE,43.2887,5.3766,0.94,housenumber,20 Rue Paradis
10003456818,DR,M,M,ROY,Olivier,10,MEDECIN,L,CABINET DR ROY,,,8,BOULEVARD,BAILLE,13005,MARSEILLE,0491445566,,SA07,rpps_activite,ROY Olivier,8 BOULEVARD BAILLE 13005 MARSEILLE,15,NEUROLOGIE,43.2912,5.3934,0.93,housenumber,8 Boulevard Baille
10003456819,DR,MME,MME,LAMBERT,Céline,10,MEDECIN,L,CABINET DR LAMBERT,,,56,RUE,SAINT-FERREOL,13001,MARSEILLE,0491778899,,SA07,rpps_activite,LAMBERT Céline,56 RUE SAINT-FERREOL 13001 MARSEILLE,1,MEDECINE GENERALE,43.2950,5.3750,0.92,housenumber,56 Rue Saint-Ferréol
10003456820,DR,M,M,BRUNET,Nicolas,10,MEDECIN,L,CABINET DR BRUNET,,,12,AVENUE,DU PRADO,13008,MARSEILLE,0491334455,,SA07,rpps_activite,BRUNET Nicolas,12 AVENUE DU PRADO 13008 MARSEILLE,62,CARDIOLOGIE,43.2803,5.3892,0.91,housenumber,12 Avenue du Prado
10003456821,DR,M,M,FABRE,Henri,10,MEDECIN,L,CABINET DR FABRE,,,3,RUE,DE ROME,13001,MARSEILLE,0491667788,,SA07,rpps_activite,FABRE Henri,3 RUE DE ROME 13001 MARSEILLE,64,DERMATOLOGIE,43.2980,5.3810,0.89,housenumber,3 Rue de Rome
10003456822,DR,MME,MME,BLANC,Nathalie,10,MEDECIN,L,CABINET DR BLANC,,,7,RUE,GRIGNAN,13001,MARSEILLE,0491889900,,SA07,rpps_activite,BLANC Nathalie,7 RUE GRIGNAN 13001 MARSEILLE,1,MEDECINE GENERALE,43.2935,5.3770,0.90,housenumber,7 Rue Grignan
10003456823,DR,MME,MME,GAUTHIER,Emma,10,MEDECIN,L,CABINET DR GAUTHIER,,,18,COURS,DE L INTENDANCE,33000,BORDEAUX,0556112233,,SA07,rpps_activite,GAUTHIER Emma,18 COURS DE L INTENDANCE 33000 BORDEAUX,15,OPHTALMOLOGIE,44.8412,-0.5760,0.93,housenumber,18 Cours de l'Intendance
10003456824,DR,MME,MME,VINCENT,Charlotte,10,MEDECIN,L,CABINET DR VINCENT,,,4,RUE,SAINTE-CATHERINE,33000,BORDEAUX,0556445566,,SA07,rpps_activite,VINCENT Charlotte,4 RUE SAINTE-CATHERINE 33000 BORDEAUX,7,GYNECOLOGIE,44.8378,-0.5742,0.92,housenumber,4 Rue Sainte-Catherine
10003456825,DR,M,M,MARTINEZ,Antoine,10,MEDECIN,L,CABINET DR MARTINEZ,,,7,PLACE,DE LA VICTOIRE,33000,BORDEAUX,0556778899,,SA07,rpps_activite,MARTINEZ Antoine,7 PLACE DE LA VICTOIRE 33000 BORDEAUX,15,NEUROLOGIE,44.8323,-0.5714,0.91,housenumber,7 Place de la Victoire
10003456826,DR,M,M,BLANC,Louis,10,MEDECIN,L,CABINET DR BLANC,,,30,RUE,DU PALAIS GALLIEN,33000,BORDEAUX,0556334455,,SA07,rpps_activite,BLANC Louis,30 RUE DU PALAIS GALLIEN 33000 BORDEAUX,1,MEDECINE GENERALE,44.8455,-0.5839,0.94,housenumber,30 Rue du Palais Gallien
10003456827,DR,MME,MME,NGUYEN,Linh,10,MEDECIN,L,CABINET DR NGUYEN,,,11,RUE,DES TROIS CONILS,33000,BORDEAUX,0556223344,,SA07,rpps_activite,NGUYEN Linh,11 RUE DES TROIS CONILS 33000 BORDEAUX,1,MEDECINE GENERALE,44.8390,-0.5800,0.89,housenumber,11 Rue des Trois Conils
10003456828,DR,M,M,ADAM,Christophe,10,MEDECIN,L,CABINET DR ADAM,,,5,RUE,VITAL CARLES,33000,BORDEAUX,0556445577,,SA07,rpps_activite,ADAM Christophe,5 RUE VITAL CARLES 33000 BORDEAUX,33,PSYCHIATRIE,44.8360,-0.5780,0.87,housenumber,5 Rue Vital Carles
